SPM (Spatial Population Model)
Call: spm -m -g 0 
Date: Thu Nov 19 15:36:51 2015
v1.1-2015-11-19 (rev. 1270). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=5832)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.16837e-009 -2.13186 8.24457e-006 6.38904e-006
-2.13186 4.28776e+009 -12428.3 -11631.5
8.24457e-006 -12428.3 0.131091 0.0662034
6.38904e-006 -11631.5 0.0662034 0.0890384
Proposal distribution covariance matrix:
1e-010 -0.589329 2.412e-006 1.86915e-006
-0.623688 4.28776e+009 -12428.3 -11631.5
2.412e-006 -12428.3 0.131091 0.0662034
1.86915e-006 -11631.5 0.0662034 0.0890384
Cholesky decomposition matrix:
1e-005 0 0 0
-62368.8 19947.2 0 0
0.2412 0.131102 0.236063 0
0.186915 0.00131526 0.0887348 0.215001
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
102000 281.466 0 0 323.154 0.381382 0.304 0.484267
103000 280.322 0 0 290.737 0.380922 0.314 0.484267
104000 284.643 0 0 287.109 0.382231 0.36475 0.484267
105000 279.904 0 0 280.58 0.383019 0.3848 0.484267
106000 281.329 0 0 282.637 0.38234 0.3725 0.484267
107000 280.318 0 0 280.732 0.383121 0.385857 0.484267
108000 281.023 0 0 281.023 0.384472 0.40375 0.484267
109000 280.986 0 0 285.103 0.385303 0.411667 0.484267
110000 280.57 0 0 284.626 0.385891 0.4155 0.484267
111000 280.889 0 0 280.889 0.386928 0.423273 0.484267
112000 280.138 0 0 282.235 0.38725 0.42325 0.484267
113000 281.929 0 0 283.726 0.387265 0.420615 0.484267
114000 279.521 0 0 280.091 0.387509 0.420214 0.484267
115000 280.991 2.34231e+011 0 1361.63 0.387157 0.415333 0.484267
116000 280.9 0 0 324.545 0.386534 0.409062 0.484267
117000 280.8 0 0 294.825 0.386171 0.405235 0.484267
118000 280.5 0 0 284.908 0.385958 0.402778 0.484267
119000 282.31 0 0 283.521 0.386042 0.402421 0.484267
120000 283.338 0 0 284.299 0.387 0.40735 0.484267
121000 283.929 0 0 283.929 0.386686 0.404571 0.484267
122000 280.957 0 0 280.957 0.386525 0.402864 0.484267
123000 280.661 0 0 280.661 0.386951 0.404435 0.484267
124000 279.562 0 0 279.562 0.387073 0.404333 0.484267
125000 280.547 0 0 280.547 0.387368 0.40512 0.484267
126000 281.164 0 0 281.601 0.387587 0.4055 0.484267
