[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000106167 400146 9.09663 4.63193
0.000109271 412839 8.88232 3.43062
0.000132046 381199 8.94754 3.14579
0.000117639 362142 8.62931 3.30303
0.000164882 333224 9.28834 4.35334
0.000174719 286250 9.08977 3.49651
0.000143091 330903 9.56461 4.19234
0.000164012 274421 8.41006 2.75146
0.000190241 292848 9.52942 3.71901
0.000191607 271552 9.29444 3.81229
0.000118443 359652 8.81644 3.86762
0.000130585 374487 8.74705 3.55879
0.000144095 338422 8.71775 3.45756
0.000150293 347195 8.28221 2.93002
0.000123753 366064 9.15941 3.53005
0.000113886 366228 8.47488 3.33057
0.000131414 318719 8.13449 3.56202
0.000126047 353905 8.98502 3.44628
0.000157538 343046 9.50706 4.57613
0.000173704 298431 8.44803 3.61349
0.000143271 328857 8.68044 3.50438
0.000188345 270636 8.92257 3.48808
0.000159714 285669 8.56656 3.54665
0.00012477 343162 7.82234 2.5973
0.000136382 338366 8.10646 3.12914
0.000143443 322126 7.79378 2.51024
0.000151438 272217 8.13548 3.12234
0.000175302 265541 8.6517 3.34109
0.000166982 283587 8.64588 3.05946
0.000192728 280791 8.5628 2.99649
0.000174465 281398 8.85071 3.7628
0.000150249 344527 8.88419 3.99158
0.000130121 344122 8.83983 3.68127
0.000155075 300189 8.60225 3.1063
0.000185709 259545 9.00396 3.50285
0.000140434 302048 8.18202 2.64417
0.00020187 275655 9.45165 3.66056
0.000163001 308147 8.9042 3.82771
0.000151677 310482 9.00883 3.97718
0.000198607 275863 9.43928 3.9631
0.000176362 267330 8.87798 3.34369
0.000155226 282823 8.74713 3.53477
0.000185437 274459 9.19189 3.65597
0.000166577 284271 8.24911 2.87723
0.000131262 356996 9.13123 3.60473
0.000141553 314176 8.186 2.85277
0.00014675 339037 8.52536 3.11704
0.000161324 300137 8.63404 3.22515
0.000168438 281888 8.83797 3.58572
0.000153942 294863 8.67146 3.19915
0.000153459 289016 8.86006 3.50722
0.000196103 279712 9.58823 3.99733
0.000179181 273091 8.83272 2.87753
0.000145386 322150 9.14702 3.41048
0.000143708 330244 8.39038 2.87902
0.000146757 299556 8.43638 3.26173
0.000203336 281887 9.26408 4.08454
0.000169504 292178 8.7961 2.79594
0.000114529 372820 8.54938 2.34875
0.00010574 412319 8.51641 3.45865
9.41475e-005 456432 8.51848 3.39999
0.000101696 455286 8.90262 3.51105
7.97904e-005 501179 8.6174 3.58919
6.32987e-005 621579 8.96668 3.80567
6.13389e-005 631896 9.11104 3.94554
6.48146e-005 593766 8.03651 3.46044
6.81208e-005 649355 8.33828 3.23437
6.60843e-005 670913 8.68068 4.2879
6.138e-005 685537 8.36912 3.19804
6.30472e-005 696370 8.80075 3.87839
6.24874e-005 694254 8.78302 3.71949
7.81065e-005 548510 8.16258 2.89794
7.80912e-005 554311 9.14457 4.1482
9.01922e-005 533182 9.28983 3.96801
7.92928e-005 483608 8.26022 2.68375
8.17512e-005 495972 8.48518 3.91142
8.74105e-005 520594 8.5166 3.16533
8.32754e-005 500970 8.25514 3.68469
8.3025e-005 553921 9.06229 4.17582
9.03104e-005 446175 7.66089 3.04544
8.0896e-005 470810 8.34007 3.23414
7.28728e-005 506670 8.33472 4.06837
6.79693e-005 558939 8.04705 2.83927
6.93151e-005 658895 8.67716 3.46854
6.78217e-005 620809 8.82348 3.35474
8.66643e-005 514366 8.35546 3.92495
7.67063e-005 527695 8.38985 2.50702
9.30367e-005 504980 8.36126 2.73299
7.37309e-005 565788 8.72621 3.81115
7.2789e-005 559566 7.94892 3.07231
8.63677e-005 543671 8.70267 4.24512
6.84976e-005 523265 7.93493 3.11507
7.60864e-005 507564 8.36092 3.97355
8.88224e-005 378391 7.55429 2.50322
0.000101796 472655 8.729 3.03775
9.72077e-005 470010 9.22838 4.06111
0.000108513 430963 8.71574 3.46508
0.000104751 417269 8.22718 2.90919
0.000102451 448496 8.14136 3.3788
8.47148e-005 492000 8.12687 2.82197
0.000100543 396485 7.85787 2.28567
0.000109467 440969 8.54649 3.45946
8.16785e-005 483474 8.69257 4.25312
8.37298e-005 462524 8.37361 3.73566
8.8735e-005 472162 8.36303 2.9638
8.40022e-005 548890 9.36459 3.68081
6.76238e-005 521443 8.17502 3.37127
7.29895e-005 504538 7.61803 2.59339
8.8023e-005 486118 8.86499 3.60906
8.68529e-005 539840 8.87155 3.43121
6.0358e-005 655401 9.51431 4.27179
6.26614e-005 655048 8.27379 3.13454
6.59497e-005 599061 8.12174 3.25043
7.35206e-005 624173 9.02014 3.51634
6.03583e-005 684161 8.52985 3.61187
7.39194e-005 610205 8.59803 3.82376
5.41988e-005 689504 8.57822 3.67417
5.90273e-005 644342 8.34814 3.67278
8.35014e-005 544426 9.50204 5.16191
8.32898e-005 562247 9.62144 4.8406
8.48569e-005 492545 7.92451 2.19438
9.08358e-005 457888 8.36298 2.83179
0.000104574 434790 9.10054 3.4892
0.000125269 370379 7.84227 2.0173
0.000134216 357843 9.2803 3.81005
0.000164548 279005 8.33641 2.89901
0.000162369 274623 8.64074 3.68375
0.000159464 303290 9.31098 3.83656
0.000163036 271854 7.81158 3.33979
0.000144786 356832 9.21527 4.44853
0.000121894 404327 9.04426 3.85158
0.000157534 336886 9.59245 4.47656
0.000180483 313667 9.76129 4.55205
0.000176667 279856 9.13111 4.10449
0.000183142 271320 8.63034 3.74483
0.000200406 258939 8.74603 3.16552
0.000197003 257193 8.85098 3.20361
0.000206493 271130 8.98423 3.84784
0.000146597 325248 8.6612 3.83985
0.000124286 321475 7.98449 2.93886
0.000116493 365868 8.51748 3.42165
0.00012705 352762 8.22747 3.4434
0.000137596 326823 8.60822 3.24813
0.000136435 381424 9.24861 3.82423
0.000198006 253906 8.17157 3.12799
0.00014908 327590 8.79056 3.86625
0.000174426 272748 8.13804 2.39246
0.000138663 334890 8.34286 3.40732
0.000135598 382884 9.04501 3.44151
9.66464e-005 435063 8.6914 3.30951
8.97661e-005 431521 8.29861 3.77915
0.000100846 434424 8.77796 4.64621
8.86213e-005 501833 8.91985 3.54732
8.65994e-005 472323 7.95238 2.75958
0.000107453 456608 8.31764 3.12025
9.6374e-005 459369 8.74096 3.35353
9.65717e-005 456142 8.72617 3.80541
0.000104993 448666 8.46969 3.42487
8.49846e-005 450517 8.49637 3.45052
7.8769e-005 533433 10.0486 5.37196
0.000103526 479529 9.69365 4.62777
0.000113616 452782 9.06146 3.3794
8.0786e-005 562005 8.66545 3.39742
8.64272e-005 497413 8.88852 3.78534
0.000106473 470062 8.36888 3.48799
0.000107806 381310 8.35439 3.28465
0.000147792 298894 8.0881 2.5017
0.00014363 311678 9.10763 3.8891
0.000153795 336014 8.73072 3.31504
0.000191604 255249 8.64316 3.50422
0.000183097 301715 9.50862 3.79852
0.000194316 306958 10.0254 4.72333
0.000137839 326577 8.53487 3.25274
0.000157648 289730 8.78438 3.73979
0.000152529 309855 9.09164 4.36616
0.000129913 371928 9.59968 4.39148
0.00016485 332560 8.88815 4.46977
0.000109488 388762 9.11666 3.98674
9.87599e-005 377889 7.75554 2.22868
0.000156143 345804 9.2239 3.44047
0.000169239 274207 9.21708 4.52268
0.000161479 280859 9.02538 4.24732
0.000144244 307446 7.95715 3.01527
0.000162073 289185 8.9179 3.07522
0.000198487 313695 9.90451 4.10863
0.00012201 367592 8.4736 3.38212
0.00011837 401010 9.14317 4.25829
0.000104517 394678 8.13534 2.89408
0.00010015 383112 8.29591 3.48753
0.000145409 358142 9.33857 3.16051
0.000147147 325463 9.53894 4.51092
0.000182844 261483 8.92527 3.98053
0.000124134 344408 9.14376 4.27576
0.000147969 331110 8.8562 3.59135
0.000130182 352138 8.69842 3.50757
0.000148561 311856 8.57223 3.44391
0.000152795 311536 8.85118 3.7509
0.000175233 283775 9.02464 3.73604
0.000152689 293051 8.5116 3.04116
0.00016583 286323 8.86363 3.08033
0.000221061 242793 9.29009 3.76346
0.000214086 282872 9.54143 3.62702
0.000156587 342002 8.88091 2.99268
9.64384e-005 432916 8.9082 4.10514
9.02703e-005 469733 8.93952 3.66496
8.79311e-005 446907 8.15073 3.2961
0.000100552 474685 9.39657 4.02081
8.87701e-005 438071 8.0916 2.83711
9.68534e-005 429764 8.69515 4.30721
0.000116334 407138 8.92128 3.90974
0.000122537 398654 8.86979 3.68674
0.000125458 347604 8.91733 4.28637
