[MCMC_objectives]
report.type: MCMC_objectives
Original covariance matrix:
1.44463e-009 -2.70643 5.46701e-006 2.68154e-006
-2.70643 5.55369e+009 -3958.16 -1056.6
5.46701e-006 -3958.16 0.207128 0.152459
2.68154e-006 -1056.6 0.152459 0.231983
Proposal distribution covariance matrix:
1e-006 -59.6185 0.000143837 7.05514e-005
-71.2064 5.55369e+009 -3958.16 -1056.6
0.000143837 -3958.16 0.207128 0.152459
7.05514e-005 -1056.6 0.152459 0.231983
Cholesky decomposition matrix:
0.001 0 0 0
-71206.4 21985.1 0 0
0.143837 0.285828 0.323638 0
0.0705514 0.180446 0.280359 0.340358
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt step_size
160000 279.8 0 0 279.8 0.196262 0.240983 0.0393308
160500 281.083 0 0 281.083 0.196475 0.241383 0.0393308
161000 280.209 0 0 280.209 0.196678 0.24174 0.0393308
161500 281.599 0 0 281.599 0.196866 0.242033 0.0393308
162000 281.609 0 0 281.609 0.197077 0.24242 0.0393308
162500 281.66 0 0 281.66 0.197323 0.242942 0.0393308
163000 282.733 0 0 282.733 0.197566 0.243449 0.0393308
163500 282.112 0 0 282.112 0.19783 0.244035 0.0393308
164000 281.318 0 0 281.318 0.198092 0.244612 0.0393308
164500 283.276 0 0 283.276 0.198338 0.24512 0.0393308
165000 283.002 0 0 283.002 0.198578 0.245608 0.0393308
165500 280.542 0 0 280.542 0.198826 0.246121 0.0393308
166000 283.199 0 0 283.199 0.199048 0.246534 0.0393308
166500 280.797 0 0 280.797 0.199307 0.247088 0.0393308
167000 281.329 0 0 281.329 0.199547 0.247563 0.0393308
167500 280.436 0 0 280.436 0.199747 0.247887 0.0393308
168000 279.946 0 0 279.946 0.19998 0.248331 0.0393308
168500 279.633 0 0 279.633 0.200157 0.248564 0.0393308
169000 279.931 0 0 279.931 0.200328 0.248774 0.0393308
169500 280.6 0 0 280.6 0.200432 0.248733 0.0393308
170000 280.652 0 0 280.652 0.200628 0.249038 0.0393308
170500 281.327 0 0 281.327 0.200822 0.249335 0.0393308
171000 282.738 0 0 282.738 0.201019 0.249643 0.0393308
171500 280.284 0 0 280.284 0.201211 0.249929 0.0393308
172000 282.305 0 0 282.305 0.201375 0.250115 0.0393308
172500 281.587 0 0 281.587 0.20155 0.250337 0.0393308
173000 282.351 0 0 282.351 0.201712 0.250516 0.0393308
173500 281.143 0 0 281.143 0.201899 0.250783 0.0393308
174000 280.434 0 0 280.434 0.2021 0.251102 0.0393308
174500 282.324 0 0 282.324 0.202294 0.251393 0.0393308
175000 279.882 0 0 279.882 0.202493 0.251702 0.0393308
175500 280.444 0 0 280.444 0.202666 0.251921 0.0393308
176000 282.446 0 0 282.446 0.202855 0.252194 0.0393308
176500 281.287 0 0 281.287 0.203046 0.252474 0.0393308
177000 280.957 0 0 280.957 0.203226 0.252714 0.0393308
177500 281.499 0 0 281.499 0.203382 0.252869 0.0393308
178000 279.76 0 0 279.76 0.203435 0.25266 0.0393308
178500 282.484 0 0 282.484 0.203526 0.252589 0.0393308
179000 281.485 0 0 281.485 0.203592 0.252434 0.0393308
179500 282.445 0 0 282.445 0.20376 0.252638 0.0393308
180000 280.296 0 0 280.296 0.203907 0.252768 0.0393308
180500 280.631 0 0 280.631 0.204037 0.252839 0.0393308
181000 280.181 0 0 280.181 0.204208 0.25305 0.0393308
181500 279.796 0 0 279.796 0.204329 0.253092 0.0393308
182000 281.758 0 0 281.758 0.20445 0.253137 0.0393308
182500 281.103 0 0 281.103 0.204568 0.253172 0.0393308
