SPM (Spatial Population Model)
Call: spm -m -q -g 0 
Date: Thu Nov 19 22:42:33 2015
v1.1-2015-11-19 (rev. 1272). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=6480)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.4961e-009 -2.82829 6.40938e-006 3.33788e-006
-2.82829 5.83449e+009 -6405.04 -3098.07
6.40938e-006 -6405.04 0.211802 0.158556
3.33788e-006 -3098.07 0.158556 0.24515
Proposal distribution covariance matrix:
1e-006 -61.1071 0.000165705 8.6296e-005
-73.1213 5.83449e+009 -6405.04 -3098.07
0.000165705 -6405.04 0.211802 0.158556
8.6296e-005 -3098.07 0.158556 0.24515
Cholesky decomposition matrix:
0.001 0 0 0
-73121.3 22085.5 0 0
0.165705 0.258609 0.342732 0
0.086296 0.145435 0.311163 0.346019
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
75000 280.904 0 0 1461.59 0.21328 0.16492 0.052926
75500 279.959 0 0 279.959 0.212967 0.164941 0.052926
76000 282.406 0 0 316.834 0.21275 0.165231 0.052926
76500 280.091 0 0 289.252 0.212405 0.165132 0.052926
77000 281.643 0 0 514.237 0.212247 0.165556 0.052926
77500 280.432 0 0 284.671 0.212052 0.165855 0.052926
78000 279.957 0 0 285.339 0.211692 0.165679 0.052926
78500 280.555 0 0 296.042 0.211389 0.165649 0.052926
79000 281.531 0 0 288.195 0.210911 0.165138 0.052926
79500 282.95 0 0 385.427 0.210591 0.165051 0.052926
80000 281.639 0 0 290.958 0.210487 0.165533 0.052926
80500 279.85 0 0 279.85 0.210708 0.246 0.0365043
81000 280.811 0 0 280.811 0.210778 0.234 0.0365043
81500 279.591 0 0 279.928 0.211018 0.239333 0.0365043
82000 281.131 0 0 286.76 0.211037 0.233 0.0365043
82500 282.498 0 0 283.353 0.211188 0.2336 0.0365043
83000 281.765 0 0 375.5 0.211651 0.242667 0.0365043
83500 281.862 0 0 301.289 0.212263 0.252857 0.0365043
84000 280.921 0 0 280.921 0.212976 0.26275 0.0365043
84500 283.319 0 0 319.795 0.213598 0.268889 0.0365043
85000 282.449 0 0 282.992 0.214294 0.2752 0.0365043
85500 282.271 0 0 282.271 0.215275 0.284909 0.0365043
86000 280.566 0 0 285.831 0.215919 0.288333 0.0365043
86500 284.162 0 0 284.162 0.216416 0.289385 0.0365043
87000 280.147 0 0 294.628 0.217034 0.291857 0.0365043
87500 280.586 0 0 344.977 0.217291 0.289867 0.0365043
88000 279.634 0 0 291.553 0.217602 0.28875 0.0365043
88500 280.285 0 0 355.506 0.217876 0.287412 0.0365043
89000 280.799 0 0 285.939 0.218101 0.285778 0.0365043
89500 280.303 0 0 280.303 0.21848 0.285789 0.0365043
90000 280.942 0 0 292.526 0.218933 0.2865 0.0365043
90500 280.366 0 0 284.715 0.219204 0.268 0.043577
91000 280.662 0 0 280.662 0.219484 0.269 0.043577
91500 280.174 0 0 463.986 0.219803 0.272 0.043577
92000 282.55 0 0 284.942 0.220196 0.277 0.043577
92500 280.743 0 0 280.743 0.220789 0.2876 0.043577
93000 280.876 0 0 280.876 0.22143 0.296333 0.043577
93500 281.573 0 0 282.188 0.221829 0.296286 0.043577
94000 279.482 0 0 284.138 0.222117 0.29375 0.043577
94500 279.875 0 0 279.875 0.222212 0.287778 0.043577
95000 280.224 0 0 283.963 0.222537 0.2874 0.043577
95500 279.648 0 0 279.648 0.222942 0.288545 0.043577
96000 280.422 0 0 282.274 0.223292 0.288667 0.043577
96500 280.645 0 0 299.04 0.223544 0.287385 0.043577
97000 280.149 0 0 736.338 0.223763 0.285857 0.043577
97500 280.036 0 0 280.228 0.224164 0.286933 0.043577
98000 281.404 0 0 319.651 0.22452 0.287375 0.043577
98500 280.212 0 0 283.938 0.224629 0.284941 0.043577
99000 281.006 0 0 281.006 0.225071 0.286444 0.043577
99500 281.816 0 0 281.816 0.225457 0.287263 0.043577
100000 281.339 0 0 284.439 0.22585 0.2881 0.043577
100500 280.949 0 0 283.724 0.22607 0.27 0.0523105
101000 282.58 0 0 282.58 0.226376 0.279 0.0523105
101500 282.909 0 0 282.909 0.226463 0.267333 0.0523105
102000 282.976 0 0 289.894 0.226696 0.269 0.0523105
102500 280.886 0 0 312.432 0.22679 0.2644 0.0523105
103000 280.847 0 0 280.847 0.226903 0.262 0.0523105
103500 280.97 0 0 280.97 0.226928 0.257714 0.0523105
104000 279.553 0 0 285.177 0.22699 0.2555 0.0523105
104500 280.206 0 0 304.424 0.226833 0.248667 0.0523105
105000 279.737 0 0 282.519 0.226619 0.242 0.0523105
105500 281.115 0 0 284.589 0.226474 0.237818 0.0523105
106000 279.622 0 0 310.983 0.226198 0.232 0.0523105
106500 280.145 0 0 285.13 0.225793 0.224923 0.0523105
107000 280.505 0 0 339.298 0.225364 0.218429 0.0523105
107500 279.895 0 0 372.216 0.22507 0.214667 0.0523105
108000 280.319 0 0 286.667 0.224833 0.212125 0.0523105
108500 279.629 0 0 319.991 0.224608 0.21 0.0523105
109000 279.493 0 0 280.234 0.224394 0.208222 0.0523105
109500 279.757 0 0 288.422 0.224301 0.208 0.0523105
110000 281.601 0 0 282.001 0.224182 0.2075 0.0523105
110500 283.035 0 0 285.537 0.224018 0.206571 0.0523105
111000 281.662 0 0 315.958 0.223676 0.203909 0.0523105
111500 279.75 0 0 308.284 0.223372 0.201826 0.0523105
112000 280.062 0 0 319.33 0.223107 0.20025 0.0523105
112500 280.7 0 0 284.969 0.222862 0.19896 0.0523105
113000 279.73 0 0 341.145 0.222398 0.195846 0.0523105
113500 279.793 0 0 473.882 0.222176 0.194963 0.0523105
114000 280.967 0 0 280.967 0.221939 0.194 0.0523105
114500 281.226 0 0 293.939 0.221729 0.19331 0.0523105
115000 280.622 0 0 291.897 0.221557 0.192933 0.0523105
115500 279.761 0 0 292.803 0.221455 0.193097 0.0523105
116000 280.622 0 0 282.55 0.221259 0.192562 0.0523105
116500 280.534 0 0 302.937 0.221202 0.19303 0.0523105
117000 281.022 0 0 281.022 0.22135 0.194882 0.0523105
117500 279.771 0 0 279.771 0.22137 0.195771 0.0523105
118000 281.897 0 0 286.975 0.221297 0.196 0.0523105
118500 281.573 0 0 289.987 0.221553 0.198324 0.0523105
119000 280.003 0 0 315.681 0.221782 0.200368 0.0523105
119500 279.739 0 0 424.345 0.221782 0.200923 0.0523105
120000 279.511 0 0 313.277 0.221692 0.2009 0.0523105
120500 280.421 0 0 284.425 0.221568 0.200683 0.0523105
121000 281.819 0 0 350.573 0.221744 0.20219 0.0523105
121500 281.322 0 0 281.322 0.221975 0.203953 0.0523105
122000 280.111 0 0 295.763 0.222049 0.204773 0.0523105
122500 280.31 0 0 291.563 0.222278 0.2064 0.0523105
123000 283.863 0 0 283.863 0.22239 0.207348 0.0523105
123500 285.079 0 0 291.488 0.222502 0.208255 0.0523105
124000 283.663 0 0 285.506 0.222685 0.2095 0.0523105
124500 281.536 0 0 335.232 0.222835 0.210531 0.0523105
125000 280.255 0 0 309.394 0.222848 0.21084 0.0523105
125500 281.777 0 0 383.787 0.222853 0.211098 0.0523105
126000 281.025 0 0 304.233 0.222897 0.211538 0.0523105
126500 281.282 0 0 281.282 0.223067 0.212566 0.0523105
127000 282.041 0 0 430.538 0.223386 0.214259 0.0523105
