SPM (Spatial Population Model)
Call: spm -p -q -g 0 -o profile.dat 
Date: Sun Aug 19 08:57:15 2018
v1.1-2018-05-31 (rev. 1291). Copyright (c) 2008-2018, NIWA
User name: Admin
Machine name: DELL9070 (Windows_NT, PID=7804)

[mature-2002]
report.type: observation
observation.label: mature-2002
observation.year: 2002
observation.time_step: one
observation.min_age: 1
observation.max_age: 30
observation.age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r3-c5 12 0.30213 0.16119 0.14094 0.629862 0 0.629862 0.329281
r3-c5 13 0.442316 0.195254 0.247062 1.42816 0 1.42816 0.789161
r3-c5 14 0.586109 0.234325 0.351784 2.21837 0 2.21837 1.3499
r3-c5 15 0.70874 0.278317 0.430424 1.07371 0 1.07371 0.850532
r3-c5 16 0.630419 0.326793 0.303626 1.53591 0 1.53591 0.868
r3-c5 17 0.7464 0.378991 0.367409 1.92721 0 1.92721 1.12269
r3-c5 18 0.902785 0.433915 0.46887 0.811391 0 0.811391 0.59504
r3-c5 19 0.981391 0.490432 0.490958 0.250295 0 0.250295 0.176549
r3-c5 20 0.758801 0.54733 0.211471 0.495957 0 0.495957 0.266767
r3-c5 21 0.938846 0.603345 0.335501 0.454979 0 0.454979 0.226683
r3-c5 22 0.884418 0.657228 0.227189 0.598908 0 0.598908 0.253733
r3-c5 23 0.990887 0.707837 0.28305 0.172753 0 0.172753 0.0606915
r3-c5 24 1 0.75424 0.24576 0.00452398 0 0.00452398 0.00127596
r3-c5 25 1 0.795804 0.204196 0.0122005 0 0.0122005 0.00278662
r3-c5 26 0.847966 0.832221 0.0157443 0.579531 0 0.579531 0.196735
r3-c5 27 0.818224 0.863497 -0.0452728 0.367972 0 0.367972 0.151105
r3-c5 28 0.928231 0.889884 0.0383471 0.220126 0 0.220126 0.0541002
r3-c5 29 0.951667 0.911809 0.0398584 0.168098 0 0.168098 0.0325893
r3-c5 30 0.779321 1 -0.220679 0.405708 0 0.405708 2.29356
r3-c6 1 0 0 0 0 0 0 -0
r3-c6 2 0 0 0 0 0 0 -0
r3-c6 3 0 0 0 0 0 0 -0
r3-c6 4 0 0 0 0 0 0 -0
r3-c6 5 0 0.0759774 -0.0759774 0 0 0 -0
r3-c6 6 0 0.106648 -0.106648 0 0 0 -0
r3-c6 7 0 0.109405 -0.109405 0 0 0 -0
r3-c6 8 0 0.130565 -0.130565 0.00333314 0 0.00333314 0.000466345
r3-c6 9 1 0.16053 0.83947 0.535918 0 0.535918 0.98034
r3-c6 10 0 0.197017 -0.197017 0.00573995 0 0.00573995 0.00125947
r3-c6 11 0.473868 0.239821 0.234047 0.207904 0 0.207904 0.155254
