[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q preference_function[ImmatureDistance].lambda preference_function[ImmatureDepth].a50 preference_function[ImmatureDepth].ato95 preference_function[ImmatureLatitude].a50 preference_function[ImmatureLatitude].ato95 preference_function[MatureDistance].lambda preference_function[MatureDepth].mu preference_function[MatureDepth].sigma_l preference_function[MatureDepth].sigma_r preference_function[MatureLatitude].a50 preference_function[MatureLatitude].ato95 selectivity[FishingSel].a50 selectivity[FishingSel].ato95 selectivity[Maturation].a50 selectivity[Maturation].ato95 process[BHrecruitment].r0
0.00010717 0.0134211 4918.04 3998.74 70.6038 7.56802 0.0061744 4992.7 2357.13 5895.29 60.1772 29.6923 12.4835 6.22786 15.2649 10.87 9.92853e+006
0.000107356 0.0134229 4918.29 3998.82 70.6081 7.57553 0.00617644 4992.71 2357.14 5895.13 60.1771 29.6918 12.4816 6.22902 15.2656 10.8782 9.92844e+006
0.000107102 0.0134187 4918.53 3999.32 70.6079 7.57649 0.00617464 4992.75 2359.4 5895.17 60.1749 29.6925 12.4786 6.22677 15.2637 10.8805 9.92838e+006
0.000108917 0.0134192 4914.05 3997.01 70.6093 7.58011 0.00617373 4992.39 2357.57 5893.86 60.1752 29.6948 12.4817 6.22743 15.2636 10.8795 9.92962e+006
0.000109856 0.013418 4892.72 3986.75 70.5956 7.56949 0.00617787 4990.74 2357.48 5887.32 60.1721 29.7063 12.4868 6.23157 15.2675 10.8811 9.93583e+006
0.000110748 0.0134226 4898.48 3989.45 70.5997 7.56925 0.00617772 4991.18 2358.72 5889.46 60.1739 29.7031 12.4848 6.22984 15.2691 10.8829 9.93423e+006
0.000109187 0.0134233 4897.6 3988.92 70.6002 7.5667 0.00620483 4990.99 2355.66 5890.06 60.1764 29.7031 12.4851 6.22947 15.2726 10.8903 9.93452e+006
0.000108286 0.0134224 4903.52 3991.8 70.6053 7.56686 0.00620201 4991.37 2352.7 5892.17 60.1766 29.6995 12.4837 6.22878 15.2735 10.9016 9.93284e+006
0.000109565 0.0134235 4903.24 3991.57 70.5989 7.55662 0.00620692 4991.35 2353.08 5892.31 60.1768 29.6999 12.4859 6.23044 15.2727 10.9009 9.93293e+006
0.000105072 0.0134189 4904.23 3991.9 70.5986 7.55473 0.0062098 4991.4 2351.69 5892.57 60.1759 29.6989 12.4826 6.2252 15.2756 10.8886 9.93269e+006
0.000109498 0.0134248 4904.06 3991.86 70.5935 7.54692 0.00621088 4991.42 2352.4 5892.65 60.176 29.6991 12.4826 6.22462 15.2744 10.8864 9.93275e+006
0.00011166 0.0134211 4905 3992.4 70.5929 7.54687 0.00621357 4991.49 2353 5893.32 60.1767 29.6989 12.4835 6.22482 15.273 10.8883 9.93253e+006
0.000111028 0.0134208 4900.92 3990.45 70.5911 7.54744 0.00621864 4991.18 2353.62 5891.87 60.1715 29.7014 12.4843 6.22542 15.2726 10.8858 9.93369e+006
0.000108355 0.0134223 4901.24 3990.94 70.5869 7.54785 0.00621093 4991.23 2353.75 5892.34 60.1734 29.7015 12.4828 6.22405 15.2742 10.8864 9.93361e+006
0.000111198 0.0134369 4904.32 3992.12 70.5876 7.54514 0.0062144 4991.47 2353.28 5893.14 60.1723 29.6994 12.4797 6.22212 15.2763 10.8843 9.93273e+006
0.000107334 0.0134357 4901.89 3990.91 70.5871 7.54777 0.00621897 4991.21 2349.54 5892.1 60.1693 29.7008 12.4796 6.22118 15.2777 10.8842 9.93341e+006
*end

0.000112275 0.0134183 4899.17 3989.55 70.5874 7.54834 0.00623046 4990.89 2347.54 5892.01 60.169 29.7024 12.4823 6.22207 15.2786 10.8903 9.93426e+006
*end

